snapshot,Electricity Price (€/MWh),Grid Import (MW),Hydrogen Tank SoC (MWh)
2025-01-01 00:00:00,65.0,2.2857142857142874,1.600000000000001
2025-01-01 01:00:00,62.0,4.7857142857142865,4.950000000000001
2025-01-01 02:00:00,60.0,7.285714285714288,10.050000000000002
2025-01-01 03:00:00,62.0,4.785714285714287,13.4
2025-01-01 04:00:00,68.0,2.285714285714286,15.0
2025-01-01 05:00:00,85.0,0.0,15.0
2025-01-01 06:00:00,105.0,0.0,15.0
2025-01-01 07:00:00,115.0,0.0,15.0
2025-01-01 08:00:00,110.0,0.0,15.0
2025-01-01 09:00:00,80.0,2.5,16.75
2025-01-01 10:00:00,40.0,5.0,20.25
2025-01-01 11:00:00,25.0,7.5,25.5
2025-01-01 12:00:00,15.0,10.0,32.5
2025-01-01 13:00:00,20.0,10.0,39.5
2025-01-01 14:00:00,35.0,7.5,44.75
2025-01-01 15:00:00,60.0,5.0,48.25
2025-01-01 16:00:00,85.0,2.5,50.0
2025-01-01 17:00:00,110.0,0.0,50.0
2025-01-01 18:00:00,135.0,0.0,50.0
2025-01-01 19:00:00,140.0,0.0,50.0
2025-01-01 20:00:00,125.0,0.0,50.0
2025-01-01 21:00:00,105.0,0.0,50.0
2025-01-01 22:00:00,85.0,0.0,50.0
2025-01-01 23:00:00,70.0,0.0,-0.0
