id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
SEQ_6019_p;None;['SEQ_6019_p'];['SEQ_6019_p'];32.326570000000004;12.55633;XX;None;{'nuts_id_1': 'XX', 'nuts_id_2': 'XX', 'nuts_id_3': 'XX'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
SEQ_6025_p;None;['SEQ_6025_p'];['SEQ_6025_p'];55.52316;-2.0775099999999997;GB;None;{'nuts_id_1': 'UKC', 'nuts_id_2': 'UKC2', 'nuts_id_3': 'UKC21'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
NutsCons_100;None;['NutsCons_100'];['NutsCons_100'];52.954778000000005;-1.012317;GB;None;{'nuts_id_1': 'UKF', 'nuts_id_2': 'UKF1', 'nuts_id_3': 'UKF16'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
N_412_M_LMGN;None;['N_412_M_LMGN'];['N_412_M_LMGN'];51.60058;-1.2824200000000001;GB;None;{'nuts_id_1': 'UKJ', 'nuts_id_2': 'UKJ1', 'nuts_id_3': 'UKJ14'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
Stor_EU_57;None;['Stor_EU_57'];['Stor_EU_57'];51.391259999999996;-0.81412;GB;None;{'nuts_id_1': 'UKJ', 'nuts_id_2': 'UKJ1', 'nuts_id_3': 'UKJ11'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
SEQ_4483__M_LMGN;None;['SEQ_4483__M_LMGN'];['SEQ_4483__M_LMGN'];44.52648;26.3784;RO;None;{'nuts_id_1': 'RO3', 'nuts_id_2': 'RO31', 'nuts_id_3': 'RO322'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
N_423_M_LMGN;None;['N_423_M_LMGN'];['N_423_M_LMGN'];45.292609999999996;25.81139;RO;None;{'nuts_id_1': 'RO3', 'nuts_id_2': 'RO31', 'nuts_id_3': 'RO316'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
SEQ_9663__S_LMGN;None;['SEQ_9663__S_LMGN'];['SEQ_9663__S_LMGN'];46.395140000000005;24.63015;RO;None;{'nuts_id_1': 'RO1', 'nuts_id_2': 'RO12', 'nuts_id_3': 'RO125'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
N_425_M_LMGN;None;['N_425_M_LMGN'];['N_425_M_LMGN'];46.25701;24.68671;RO;None;{'nuts_id_1': 'RO1', 'nuts_id_2': 'RO12', 'nuts_id_3': 'RO125'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
SEQ_4497__M_LMGN;None;['SEQ_4497__M_LMGN'];['SEQ_4497__M_LMGN'];46.285759999999996;24.95289;RO;None;{'nuts_id_1': 'RO1', 'nuts_id_2': 'RO12', 'nuts_id_3': 'RO124'};{'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
