,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Node,ITSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Hour,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
01.01.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,8,0.0,8.686143050895161e-06,1.256588158256052e-06,2.762784923832729e-06,1.090932900405102e-06,4.815107473513086e-06,2.34001664405505e-06,7.37696663041025e-06,3.944769244918728e-06,8.226970177843145e-06,8.091446553212813e-06,8.502119967371387e-07,5.74037503419629e-06,3.803673415234544e-06,4.095445588639635e-06,1.114248527327924e-06,5.818314910771323e-06,4.127789494459993e-06,8.220626377814311e-06,9.844128560415272e-07,5.833806182119242e-06,1.713999826081607e-06,4.912673217925608e-06,6.525831672356225e-06,1.079864666672949e-06,6.297910449870001e-06,2.872159055186334e-06,2.900536064320742e-06,7.940395659597665e-06,2.745033803582184e-06,2.691351807943905e-09,4.928577888111038e-06,7.350020185099123e-06,3.793567329384265e-06,3.975634255009073e-06,8.414347262522172e-06,8.794136028686519e-06,8.599538519847815e-06
01.01.,9,0.007313513341223874,0.05296699521170407,0.02039793927352547,0.01916633219235054,0.04641167701744761,0.01800492806562107,0.01848069532255119,0.02667315662398337,0.03754421962615664,0.003439699603308346,0.04105346471343748,0.03547417288370763,0.01402214868706301,0.02212087285971698,0.05071537117934524,0.05213578585365745,0.01162161164236805,0.0003534412324471762,0.05735222036213724,0.06594145432026982,0.06050558445980525,0.03571323800673965,0.04313775395949423,0.06377096952076138,0.009011395088280985,0.03885782270816384,0.04205170004744849,0.01671637048080391,0.02004064222883125,0.0007751568939106891,0.006341871490948232,0.02171463434236554,0.01011965111449744,0.06981924369209211,0.00115214472110968,0.05961832489771667,0.0265802009114946,0.05320495624903482
